alt_text,trip,location,time,path,small_path
Tunnel View Yosemite Park,California-2023,California,2023-12-18,./assets/img/gallery/california-2023-Dec/2023-12-18_17-49-40_463_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-18_17-49-40_463_small_60.jpeg
Yosemite Park,California-2023,California,2023-12-18,./assets/img/gallery/california-2023-Dec/2023-12-18_14-09-24_628_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-18_14-09-24_628_small_60.jpg
Disney Land,California-2023,California,2023-12-22,./assets/img/gallery/california-2023-Dec/2023-12-22_13-11-31_516_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-22_13-11-31_516_small_60.jpg
Dinner at Santa Barbara,California-2023,California,2023-12-15,./assets/img/gallery/california-2023-Dec/2023-12-15_19-38-45_000_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-15_19-38-45_000_small_60.jpeg
Las Vegas,California-2023,California,2023-12-19,./assets/img/gallery/california-2023-Dec/2023-12-19_15-58-39_220_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-19_15-58-39_220_small_60.jpg
Death Valley Park,California-2023,California,2023-12-20,./assets/img/gallery/california-2023-Dec/2023-12-20_18-12-21_328_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-20_18-12-21_328_small_60.jpeg
Kbbq at Vegas ,California-2023,California,2023-12-20,./assets/img/gallery/california-2023-Dec/2023-12-20_19-56-19_513_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-20_19-56-19_513_small_60.jpg
Steak at San Francisco ,California-2023,California,2023-12-17,./assets/img/gallery/california-2023-Dec/2023-12-17_17-59-20_267_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-17_17-59-20_267_small_60.jpg
Little Italy at Vegas,California-2023,California,2023-12-19,./assets/img/gallery/california-2023-Dec/2023-12-19_16-08-26_864_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-19_16-08-26_864_small_60.jpg
,California-2023,California,2023-12-14,./assets/img/gallery/california-2023-Dec/2023-12-14_15-23-54_015_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-14_15-23-54_015_small_60.jpg
Yosemite Park,California-2023,California,2023-12-18,./assets/img/gallery/california-2023-Dec/2023-12-18_15-00-48_339_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-18_15-00-48_339_small_60.jpg
SolVang,California-2023,California,2023-12-16,./assets/img/gallery/california-2023-Dec/2023-12-16_13-40-14_988_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-16_13-40-14_988_small_60.jpg
Dinner at Fresno,California-2023,California,2023-12-18,./assets/img/gallery/california-2023-Dec/2023-12-18_18-31-32_977_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-18_18-31-32_977_small_60.jpg
Santa Barbara,California-2023,California,2023-12-16,./assets/img/gallery/california-2023-Dec/2023-12-16_09-06-30_669_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-16_09-06-30_669_small_60.jpg
Disney Land ,California-2023,California,2023-12-23,./assets/img/gallery/california-2023-Dec/2023-12-23_14-14-52_296_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-23_14-14-52_296_small_60.jpg
Pier 39,California-2023,California,2023-12-17,./assets/img/gallery/california-2023-Dec/2023-12-17_14-53-23_809_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-17_14-53-23_809_small_60.jpg
Ghirardelli Sundae,California-2023,California,2023-12-22,./assets/img/gallery/california-2023-Dec/2023-12-22_15-29-11_596_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-22_15-29-11_596_small_60.jpg
Solvang,California-2023,California,2023-12-16,./assets/img/gallery/california-2023-Dec/2023-12-16_11-55-35_949_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-16_11-55-35_949_small_60.jpg
Death Valley Park,California-2023,California,2023-12-20,./assets/img/gallery/california-2023-Dec/2023-12-20_15-16-15_324_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-20_15-16-15_324_small_60.jpg
Death Valley Park,California-2023,California,2023-12-20,./assets/img/gallery/california-2023-Dec/2023-12-20_19-49-52_334_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-20_19-49-52_334_small_60.jpeg
Breakfast at Santa Barbara,California-2023,California,2023-12-16,./assets/img/gallery/california-2023-Dec/2023-12-16_09-59-45_457_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-16_09-59-45_457_small_60.jpg
Disney Land,California-2023,California,2023-12-22,./assets/img/gallery/california-2023-Dec/2023-12-22_19-41-49_293_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-22_19-41-49_293_small_60.jpeg
San Francisco,California-2023,California,2023-12-17,./assets/img/gallery/california-2023-Dec/2023-12-17_14-30-58_599_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-17_14-30-58_599_small_60.jpg
Las Vegas,California-2023,California,2023-12-19,./assets/img/gallery/california-2023-Dec/2023-12-19_19-39-28_615_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-19_19-39-28_615_small_60.jpeg
,California-2023,California,2023-12-23,./assets/img/gallery/california-2023-Dec/2023-12-23_14-15-45_131_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-23_14-15-45_131_small_60.jpg
